line,artist
It's the same old song,Dio
you gotta be somewhere at sometime,Dio
and they'll never let you fly,Dio
It's like broken glass,Dio
you get cut before you see it,Dio
so open up your eyes,Dio
You've got desire,Dio
so let it out,Dio
you've got the power,Dio
stand up and shout,Dio
"shout, shout, stand up and shout",Dio
You got wings of steel,Dio
but they never really move you,Dio
you only seem to crawl,Dio
You've been nailed to the wheel,Dio
but never really turning,Dio
you know you've got to work it out,Dio
You've got desire,Dio
so let it out,Dio
you've got the power,Dio
stand up and shout,Dio
"shout, shout, stand up and shout",Dio
Let it out,Dio
You are the strongest chain,Dio
and you're not just some reflection,Dio
so never hide again,Dio
You are the driver,Dio
you own the road,Dio
"you are the fire -- go on, explode",Dio
Let it out,Dio
Stand up and shout,Dio
Holy Diver,Dio
You've been down too long in the midnight sea,Dio
Oh what's becoming of me,Dio
Ride the tiger,Dio
You can see his stripes but you know he's clean,Dio
Oh don't you see what I mean,Dio
Gotta get away,Dio
Holy Diver,Dio
Shiny diamonds,Dio
Like the eyes of a cat in the black and blue,Dio
Something is coming for you,Dio
Race for the morning,Dio
You can hide in the sun 'till you see the light,Dio
Oh we will pray it's all right,Dio
Gotta get away-get away,Dio
Between the velvet lies,Dio
There's a truth that's hard as steel,Dio
The vision never dies,Dio
Life's a never ending wheel,Dio
Holy Diver,Dio
You're the star of the masquerade,Dio
No need to look so afraid,Dio
Jump on the tiger,Dio
You can feel his heart but you know he's mean,Dio
Some light can never be seen,Dio
Holy Diver,Dio
You've been down too long in the midnight sea,Dio
Oh what's becoming of me,Dio
Ride the tiger,Dio
You can see his stripes but you know he's clean,Dio
Oh don't you see what I mean,Dio
Gotta get away,Dio
Holy Diver,Dio
Yeah gypsy,Dio
She was straight from hell,Dio
But you never could tell,Dio
'cause you were blinded by her light,Dio
She could crack your brain,Dio
With magic pain,Dio
And turn a paler shade of white,Dio
"Well, I was on the free, just me and me",Dio
And just about to sail,Dio
When I heard the voice saying,Dio
You've got a choice,Dio
The hammer or the nail,Dio
You'll be ridin',Dio
You'll be ridin' on the gypsy,Dio
I'm a gypsy,Dio
Well I rolled the bones,Dio
To see who'd own,Dio
My mind and what's within,Dio
And it's a given rule,Dio
That we're all fools,Dio
But need to have a little sin,Dio
So I'm ridin',Dio
"Well, I'm ridin' on the gypsy",Dio
On the gypsy queen,Dio
"Well, she was straight from hell",Dio
But you never could tell,Dio
'cause you were blinded by her light,Dio
And so she cracked my brain,Dio
With magic pain,Dio
"And turned my left around to right, right",Dio
So I'm ridin',Dio
"I'm still ridin',",Dio
"Yes, I'm ridin' on, on the gypsy",Dio
On the gypsy queen,Dio
She's mean,Dio
Looking inside of yourself,Dio
You might see someone you don't know ooh ooh,Dio
Maybe it's just what you need,Dio
Letting the river in you flow,Dio
You can sail away to the sun,Dio
And let it burn you while it can,Dio
I walk along the bloody road,Dio
Like the hero who never ends,Dio
"You'll feel it,",Dio
You'll feel it,Dio
You'll feel the rush of it all,Dio
Oh ooh oh oh oh oh,Dio
Flying away in the clouds,Dio
You're no more losing your control ooh,Dio
And finding your way in the dark,Dio
Like some poor forgotten soul,Dio
"You'll feel it,",Dio
"You'll see it,",Dio
You'll feel the rush of the city lights,Dio
"I feel it,",Dio
I see it in your eyes,Dio
You're caught in the middle,Dio
Just like the way you've always been,Dio
Caught in the middle,Dio
Helpless again,Dio
Looking inside of yourself,Dio
You might see someone you don't know ooh ooh,Dio
Maybe it's just what you need,Dio
Letting the river of nowhere send you flow,Dio
You can feel it,Dio
You can see it,Dio
"You'll know the rush of thunder, yeah",Dio
You'll feel it,Dio
I see it in your eyes,Dio
You're caught in the middle,Dio
Just like the way you've always been,Dio
Caught in the middle,Dio
Helpless again,Dio
Like the rush of a thunder,Dio
That brings you under,Dio
There's some kind of spark,Dio
You're caught right there in the middle,Dio
You're caught in the middle,Dio
Caught in the middle again,Dio
All night long yeah hmm hmm hmm,Dio
You're feeling caught in the middle,Dio
Don't talk to strangers hmm hmm hmm hmm hmm hmm hmm hmm hmm,Dio
Don't talk to strangers,Dio
'Cause they're only there to do you harm,Dio
Don't write in starlight,Dio
'Cause the words may come out real,Dio
Don't hide in doorways,Dio
You may find the key that opens up your soul,Dio
Don't go to heaven,Dio
'Cause it's really only hell,Dio
Don't smell the flowers,Dio
They're an evil drug to make you lose your mind,Dio
Don't dream of women,Dio
'Cause they'll only bring you down,Dio
"Hey, you, you know me",Dio
You can touch me. I'm real,Dio
I'm forever,Dio
The one that lets you look and see,Dio
And feel me,Dio
"I'm danger, I'm the stranger",Dio
"And I, I'm darkness",Dio
"I'm anger, I'm pain,",Dio
I'm the master,Dio
The evil song you sing inside your brain,Dio
Drive you insane,Dio
Don't talk,Dio
Don't let them inside your mind yeah,Dio
"Run away, run away, go",Dio
"No, no, don't let them in your mind",Dio
Protect your soul,Dio
Don't dance in darkness,Dio
You may stumble and you're sure to fall,Dio
Don't write in starlight,Dio
'Cause the words may come out real,Dio
Don't talk to strangers (don't talk),Dio
'Cause they're only there to make you sad,Dio
Don't dream of women,Dio
'Cause they'll only bring you down yeah,Dio
"Run, run, run, run away",Dio
Hanging from the cobwebs in you mind,Dio
"it looks like a long, long way to fall",Dio
No one ever told me life was kind,Dio
I guess I never heard it,Dio
I never heard it all,Dio
Living in a world of make believe,Dio
I can hide behind what's real,Dio
But wearing your emotions on your sleeve,Dio
and they all know what you feel,Dio
And here it comes again,Dio
